Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
2014-03-18 11:02,0.0N,111.8W,30.5,,,,,5.40E+11,1.3
2014-03-03 15:00,29.0S,94.9W,,,,,,9.40E+10,0.29
2014-02-18 12:50,32.8S,61.5W,,,,,,2.60E+10,0.092
2014-02-13 6:47,13.3N,110.7W,25,,,,,6.30E+11,1.5
2014-01-15 2:46,18.5S,141.8E,29.6,,,,,1.40E+11,0.41
2014-01-12 16:00,2.9N,64.4E,37,16.2,-5.2,-15.1,2.6,7.80E+10,0.24
2014-01-08 17:05,1.3S,147.6E,18.7,44.8,-3.4,-43.5,-10.3,3.10E+10,0.11
2013-12-23 8:30,39.5N,2.0E,34.3,15.1,-1.1,11.4,-9.9,1.47E+11,0.43
2013-12-08 3:10,32.8N,165.1W,23.5,11.8,2.3,2.5,-11.3,6.40E+10,0.2
2013-11-21 1:50,44.7N,35.3E,59.3,12.4,-5,-11,-2.7,7.50E+10,0.23
2013-10-12 16:06,19.1S,25.0W,22.2,12.8,-8,8.4,-5.5,1.61E+12,3.5
2013-10-09 17:27,,,,,,,,6.00E+10,0.19
2013-09-24 15:31,10.3S,164.7W,40.7,,,,,1.60E+11,0.46
2013-08-12 18:08,34.4S,118.2E,66.6,,,,,4.40E+10,0.15
2013-07-31 7:00,,,,,,,,3.90E+10,0.13
2013-07-31 3:50,31.8S,137.1E,29.1,17.8,17.7,-2.3,-0.1,6.90E+10,0.22
2013-07-30 2:36,50.2S,90.2E,25.6,18.8,15.9,-8.6,5.1,3.90E+11,1
2013-07-27 8:30,0.3N,156.2E,26.5,22.1,16,14.9,-3.3,1.20E+11,0.36
2013-07-26 11:32,21.0N,178.5W,37,,,,,2.00E+10,0.073
2013-07-18 0:46,,,,,,,,2.20E+10,0.079
2013-06-13 2:51,,,,,,,,2.20E+10,0.079
2013-06-01 22:49,65.6S,138.4E,28.9,,,,,3.40E+10,0.12
2013-05-14 23:20,3.0S,76.4E,,,,,,2.00E+10,0.073
2013-04-30 8:40,35.5N,30.7W,21.2,12.1,1,9,-8,5.11E+12,10
2013-04-21 6:23,28.1S,64.6W,40.7,14.9,5,14,1,1.07E+12,2.5
2013-03-12 10:32,32.7S,17.1E,26,,,,,2.90E+10,0.1
2013-02-20 13:13,23.0S,38.8W,,13.6,-11,-8,-1,3.20E+10,0.1
2013-02-15 3:20,54.8N,61.1E,23.3,18.6,12.8,-13.3,-2.4,3.75E+14,440
2013-02-07 13:12,18.8S,158.6W,,,,,,6.50E+10,0.21
